Question Number,Answer
1,B
2,D
3,C
4,B
5,C
6,A
7,A
8,D
9,D
10,D
11,B
12,A
13,C
14,A
15,A
16,B
17,C
18,A
19,B
20,A
21,B
22,D
23,A
24,C
25,D
26,B
27,A
28,D
29,D
30,B
31,A
32,D
33,B
34,D
35,D
36,A
37,C
38,C
39,D
40,B
41,D
42,C
43,A
44,C
45,A
46,B
47,A
48,D
49,B
50,D
51,B
52,B
53,D
54,D
55,B
56,C
57,B
58,B
59,A
60,A
61,A
62,D
63,A
64,B
65,C
66,B
67,D
68,A
69,C
70,A
71,D
72,C
73,B
74,D
75,A
76,D
77,D
78,C
79,A
80,C
81,D
82,A
83,B
84,D
85,A
86,D
87,C
88,C
89,A
90,C
91,A
92,D
93,C
94,D
95,C
96,D
97,B
98,A
99,D
100,D
101,C
102,D
103,A
104,D
105,C
106,B
107,B
108,D
109,C
110,A
111,D
112,C
113,D
114,B
115,B
116,A
117,A
118,C
119,C
120,A
121,D
122,A
123,B
124,D
125,B
126,B
127,C
128,D
129,C
130,D
131,C
132,A
133,B
134,D
135,B
136,B
137,D
138,B
139,D
140,B
141,C
142,D
143,C
144,A
145,D
146,B
147,C
148,D
149,C
150,B
151,A
152,B
153,D
154,A
155,B
156,D
157,B
158,B
159,C
160,A
161,D
162,C
163,D
164,A
165,A
166,B
167,A
168,C
169,B
170,B
171,C
172,D
173,B
174,C
175,B
176,D
177,A
178,C
179,A
180,D
