Question Number,student id1,student id2,student id3,student id4,student id5,student id6,student id7,student id8,student id9,student id10,student id11,student id12,student id13
1,B,B,B,B,C,B,C,B,B,,B,B,B
2,D,D,D,D,C,D,C,D,,,D,,D
3,C,C,C,C,D,C,,C,A,,A,C,C
4,B,,C,C,A,B,D,B,D,,,B,B
5,,D,D,,D,D,,D,D,D,D,D,D
6,B,A,A,A,C,A,,A,C,,A,,
7,B,A,,D,D,A,,A,C,,,,
8,D,D,D,D,D,D,,D,D,,D,D,D
9,D,D,D,D,,D,,C,A,,,,D
10,D,D,D,C,,D,,A,,,D,A,D
11,B,B,B,B,,B,,B,,,D,B,B
12,A,A,A,A,,A,,A,,,A,A,A
13,A,A,,C,,A,,A,C,,D,B,C
14,A,A,,A,,A,,A,,,C,D,A
15,,,,A,,,,,,,A,,A
16,,D,,,,,,,,,,,B
17,,D,,C,,,,,,,,,C
18,,C,,,,,,,,,,,A
19,,D,A,,,,,B,,,,,B
20,,B,,A,D,A,,A,D,,,D,
21,,A,,D,,,,,D,,,,B
22,,C,,D,C,D,,D,A,A,C,A,A
23,A,A,A,A,A,A,,A,,,A,D,A
24,C,,C,A,B,C,,C,,,,B,C
25,D,,D,D,B,D,,D,B,,,B,D
26,B,,B,,,B,,B,D,D,,C,C
27,A,,A,A,,A,,A,A,,,A,A
28,,C,B,C,A,,,,,,C,A,
29,C,C,D,D,C,D,,D,B,,C,C,D
30,B,B,B,A,,B,,B,,,D,C,B
31,A,B,A,,,C,,,C,,,C,
32,,D,D,B,,,,D,D,D,,C,B
33,,B,B,B,B,B,,B,,,B,,
34,,C,,D,,,,D,,,C,,D
35,,D,,C,,,,,,,,,D
36,,B,,B,,A,,A,B,,C,,
37,C,B,C,C,,C,,C,,,C,,C
38,C,C,C,C,C,C,,C,C,C,C,C,C
39,A,D,A,D,,A,,A,,A,D,,D
40,B,B,,B,,B,,B,C,,,,C
41,,D,,D,,D,,D,,,D,,D
42,C,D,C,B,,C,,C,,,,,
43,,,,,,,,A,,,,,
44,C,C,A,,,C,,D,,,,,
45,,A,A,A,A,,,A,A,C,A,,A
46,B,C,C,B,B,B,C,B,B,B,B,C,C
47,A,A,A,A,A,A,,A,A,,C,A,A
48,D,D,D,D,D,D,D,D,D,,D,D,D
49,B,,D,D,B,B,A,B,C,,A,,B
50,B,D,D,B,D,B,D,D,D,,D,D,D
51,B,B,B,B,A,B,B,B,B,,B,B,B
52,B,D,B,C,A,B,,B,,,B,A,C
53,C,D,,D,C,D,,D,D,,,C,D
54,A,C,D,B,,C,,D,D,,C,B,C
55,B,B,,C,D,D,A,B,B,,D,D,B
56,C,C,D,C,C,,,C,D,,C,D,C
57,B,B,B,B,B,B,,B,B,,B,D,B
58,B,B,B,B,B,B,B,B,B,,A,B,B
59,A,A,A,A,A,A,C,A,A,A,A,A,A
60,A,A,D,A,D,A,C,C,A,,A,D,A
61,A,A,A,A,A,A,,A,,A,,A,A
62,,D,A,A,C,A,A,D,D,,A,C,C
63,A,A,A,A,C,A,,A,A,,A,A,A
64,,B,B,B,B,C,,B,,,,B,B
65,C,C,C,C,C,C,C,C,C,,C,C,C
66,B,B,B,B,B,B,,,B,,D,B,B
67,D,D,D,D,D,D,D,D,,,D,D,D
68,A,A,A,A,A,A,B,A,D,,B,A,A
69,C,C,A,D,A,C,,C,B,,A,C,
70,A,A,B,A,A,A,,A,C,A,A,A,A
71,A,A,D,C,,D,,D,D,,,,D
72,C,C,C,C,C,C,,C,A,,,,
